"Descrizione";"Indirizzo";"Comune";"Provincia";"Raggio di validità (in metri)";"Tipologia di scansione accettata";"Stampa tag"
"R&R SERVIZI GRAFICI - RIMINI";"PIETRARUBBIA, 32";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"RAG. ELIO LAGHI - CORPOLO'";"ANACLETO RICCI, 16";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"RAG. ELIO LAGHI - SANTARCANGELO";"VIA SANTARCANGIOLESE, 1395";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"RE MAGO - RIMINI";"PEPPINO IMPASTATO, 6";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"RICCARDO ZANNI - CONDOMINIO RIMINI SERPIERI";"ALESSANDRO SERPIERI, 23";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"RICCI SABBIATURA - RIMINI";"MAVONCELLO, 2R";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"RIVIERA FINDOMESTIC - RIMINI";"FLAMINIA, 159A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SAMIR - RIMINI VIA LUCIANO LAMA 8";"LUCIANO LAMA , 8";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SAMIR - RIMINI VIA TANARO 3/O";"TANARO, 3/O";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SAMPAOLESI - RIMINI";"flaminia, 136a";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SAN GAUDENZO - RIMINI";"CASTI, 17";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"SAN PATRIGNANO - CORIANO";"SAN PATRIGNANO, 53";"CORIANO";"RIMINI";"300";"Qualsiasi";""
"SAN VALENTINO - RIMINI";"TOMASETTA, 13";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SANTA CATERINA PEGASO - RICCIONE";"ANGELONI, 8";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"SARR - RIMINI";"CRIMEA, 18";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SCHINDLER - RIMINI";"VIA PLACIDIA , 29";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SCM - CSR";"EMILIA, 77";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SCM - FONDERIA VILLA VERUCCHIO";"DEL TESORO, 141";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"SCM EX SERGIANI - CERASOLO";"GIOVANNI PASCOLI, 42";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"SCM HITECO - VILLA VERUCCHIO";"MARECCHIESE , 720";"VERUCCHIO";"RIMINI";"500";"Qualsiasi";""
"SCM PREMIUM 51 - VILLA VERUCCHIO";"SS258 MARECCHIA, 51";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"SCM RICAMBI - RIMINI";"EMILIA, 59";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"SCM STEELMEC - VILLA VERUCCHIO";"SS 258 MARECCHIA , 34";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"SCM VIA EMILIA 59 61 MARCONI - EX FONDERIA RIMINI";"EMILIA, 59";"RIMINI";"RIMINI";"500";"Qualsiasi";""
"SCM VIA EMILIA 61 PREGNOLATO - RIMINI";"EMILIA, 61";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"SCM VIA EMILIA 71 MARCONI - RIMINI";"EMILIA, 71";"RIMINI";"RIMINI";"500";"Qualsiasi";""
"SCM VIA EMILIA 77 ASTOLFI - RIMINI";"EMILIA, 77";"RIMINI";"RIMINI";"500";"Qualsiasi";""
"SCM VILLA MARE - VILLA VERUCCHIO";"CASALE, 450";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"SCM VILLA MONTE 57 - VILLA VERUCCHIO";"SS258 MARECCHIA, 57";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"SCRIGNO - SAVIGNANO - PULIZIE CONTINUATIVE";"BEVILACQUA, 10";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"100";"Qualsiasi";""
"SCUOLA BENIAMINA FOSCHI - CSR - SARSINA";"LARGO ALCIDE DE GASPERI, 8";"SARSINA";"FORLI E CESENA";"150";"Qualsiasi";""
"SCUOLA ELEMENTARE F.LLI CERVI - CSR - SANT'ERMETE";"CASALE DI SANT'ERMETE , 1288";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"SCUOLA ELEMENTARE PASCUCCI - CSR - SANTARCANGELO";"GANGANELLI , 25";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"SCUOLA INFANZIA BIANCANEVE - CSR - SANT'ERMETE";"CASALE DI SANT'ERMETE , 650";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"SCUOLA INFANZIA CANONICA - CSR - SANTARCANGELO";"VIA SANTARCANGIOLESE, 3740";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"SCUOLA INFANZIA FLORA - CSR - SANTARCANGELO";"PATRIGNANI, 259";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"SCUOLA INFANZIA GIARDINO INCANTATO - CSR - SAN VITO";"SAN VITO, 1729";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"SCUOLA INFANZIA IL DRAGO - CSR - SANTARCANGELO";"DANIELE FELICI, 45";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"SCUOLA INFANZIA MARGHERITA - CSR - SANTARCANGELO";"PALMIRO TOGLIATTI, 30";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"SCUOLA INFANZIA POLLICINO - CSR - SAN MARTINO";"IX NOVEMBRE, 8";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"SCUOLA NIDO AQUILOTTO - RIMINI";"MONTECHIARO, 20";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SCUOLA NIDO DELFINO - RIMINI";"NICCOLò TOMMASEO, 5";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SCUOLA PAPA GIOVANNI XXIII - CSR - RANCHIO";"RANCHIO VICOLO DEI GIARDINI , 2";"SARSINA";"FORLI E CESENA";"100";"Qualsiasi";""
"SEMPRINI CESARI GIOELE DOTT - RIMINI";"DELLA REPUBBLICA, 104";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SERGIO ROSSI - SAN MAURO PASCOLI";"VIA STRADONE, 600/602";"SAN MAURO PASCOLI";"FORLI E CESENA";"200";"Qualsiasi";""
"SERVICE WEB - SCUOLA PRIMARIA MADRE TERESA DI CALCUTTA";"SFORZA, 16";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"SID ROMAGNA - FORLI'";"BERTINI, 128";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"SIEL ANTIFURTO - RIMINI";"DEL CICLAMINO, 36";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SIMPLENETWORKS - SANTA GIUSTINA";"EMILIA, 383";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SIMPLENETWORKS - SANTARCANGELO";"DELL'INDUSTRIA, 44";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"SM LOGISTICA - RIMINI";"CORIANO, 58";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SM LOGISTICA - SANT'IPPOLITO - PESARO";"DELLE INDUSTRIE, SN";"SANT'IPPOLITO";"PESARO E URBINO";"300";"Qualsiasi";""
"SOC. COOP. BRACCIANTI RIMINESE - RIMINI";"FLAMINIA CONCA, 85";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"SODIFER - IMOLA";"PROVINCIALE SELICE, 47";"IMOLA";"BOLOGNA";"100";"Qualsiasi";""
"SODIFER - SANTARCANGELO DI ROMAGNA";"VIA DEL GRANO, 245";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"START - NOVAFELTRIA";"A. BATTELLI , 27";"NOVAFELTRIA";"RIMINI";"300";"Qualsiasi";""
"START - P.LE CURIEL RICCIONE";"PIAZZALE CURIEL, SNC";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"START - P.LE ILARIO BANDINI FORLI";"piazzale ilario bandini, snc";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - P.LE MARINAI RICCIONE";"PIAZZALE MARINAI D'ITALIA, SNC";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"START - P.ZZ MARTIRI D'UNGHERIA FORLI";"PIAZZA MARTIRI D'UNGHERIA, STAZIONE";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - PALAZZO SME FORLI";"PUNTA DI FERRO, 2";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SAN PIERO IN BAGNO FORLI";"LEONARDO DA VINCI, 66";"BAGNO DI ROMAGNA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SANTA SOFIA FORLI";"G. DI VITTORIO, 14";"SANTA SOFIA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - C.A. DELLA CHIESA 38 RN";"CARLO DELLA CHIESA, 38";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - C.A. DELLA CHIESA 40 PORTINERIA RN";"CARLO DELLA CHIESA, 40";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - C.BATTISTI STAZIONE BIGLIETTERIA";"CESARE BATTISTI, 12";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - C.BATTISTI STAZIONE CENTRALE OPER";"CESARE BATTISTI, 12";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - C.BATTISTI STAZIONE SALA RISTORO";"CESARE BATTISTI, 12";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CESA - LARGO MARTIRI UNGHERIA RN";"LARGO MARTIRI D'UNGHERIA, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"START - SUBAPPALTO CILS - GALLERIA CAVOUR 55 BIGLIETTERIA";"GALLERIA CAVOUR, 55";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO CILS - MONTEFIORE CAPOLINEA 6";"CORRADINO FABBRI, SN";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO CILS - PIAZZALE K. MARX 135 CESENA";"KARL MARX, 135";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO CILS - V. EUROPA STAZIONE CESENA";"EUROPA, SN";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO CILS - V.SPINELLI 140 CESENA";"SPINELLI, 140";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - MOLO SANFILIPPO 44D PORTO CORSINI";"MOLO SANFILIPPO, 44D";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - PIAZZALE FARINI 9 RAVENNA";"PIAZZALE FARINI, 9";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA DELL'ARTIGIANATO 16 ALFONSINE";"DELL'ARTIGIANATO, 16";"ALFONSINE";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA DELLE INDUSTRIE 120 RAVENNA";"DELLE INDUSTRIE, 120";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA EMILIA PONENTE 21 FAENZA RA";"EMILIA PONENTE, 21";"FAENZA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA MARONCELLI 1 RAVENNA";"MARONCELLI, 1";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA TEODORICO 7 RAVENNA";"TEODORICO, 7";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - SUBAPPALTO COLAS - VIA VECCHI 2 MARINA DI RAVENNA";"AGAMENNONE VECCHI, 2";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"START - VIA LOMBARDIA RICCIONE";"LOMBARDIA, 17";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"START - VIA PANDOLFA FORLI";"PANDOLFA, 50";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - VIA VOLTA 13 FORLI";"VOLTA, 13";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - VIA VOLTA 9/11 FORLI";"VOLTA, 9";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"START - VILLA VERUCCHIO";"SS MARECCHIA, 38";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"STCC - RIMINI - PULIZIE CONTINUATIVE";"C.SO D'AUGUSTO, 115";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"STUDI ASSOCIATI RAGIONIERI - RIMINI";"SAFFI, 9";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"STUDIO GARE THESIS - RICCIONE";"LODI, 4";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"STUDIO I-SERVICE - SAN MAURO PASCOLI";"DEL PROGRESSO, 113";"SAN MAURO PASCOLI";"FORLI E CESENA";"100";"Qualsiasi";""
"STUDIO MEDICO - VILLA VERUCCHIO";"PIAZZA EUROPA, 36";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"SUMMERTRADE - AUTODROMO MISANO";"DAIJIRO KATO, 11";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"SUMMERTRADE - OFFICINA DEL GUSTO MISANO";"DELLA REPUBBLICA, 22";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"SUMMERTRADE - VIA EMILIA 129 RIMINI";"EMILIA, 129";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"SURGITAL - LAVEZZOLA";"BASTIA, 16/1";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"TAFFO FUNERAL - RIMINI";"PIAZZA MAZZINI, 6";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"TECNO RIMINI - RIMINI";"NUOVA CIRCONVALLAZIONE, 57/B";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"TECNODATA - STADIUM 105 RIMINI";"PIAZZALE PASOLINI, 1/C";"RIMINI";"RIMINI";"150";"Qualsiasi";""
"TECNOMECCANICA - CARPENTERIA - VILLA VERUCCHIO";"DEL TESORO , 533";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"TECNOMECCANICA - SEDE - VILLA VERUCCHIO";"DEL TESORO , 400";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"TERMOVALORIZZATORE E SELEZIONE E RECUPERO - CORIANO";"RAIBANO, 32";"CORIANO";"RIMINI";"200";"Qualsiasi";""
"TERRE CEVICO - FORLI'";"VASSURA, 19";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"TRANSBELT - SANTARCANGELO";"DELL'ORZO, 2";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"TRASCONTI - RIMINI";"TOLEMAIDE, 132";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"TREVI - TREVIDEA - RIMINI";"STRADA CONSOLARE RIMINI-SAN MARINO, 62";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"TVS - FERMIGNANO ";"GALILEO GALILEI, 2";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"UBISERVICE - UBISOL - RIMINI";"DELLO STAMBECCO, 6F";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"UMANA - RIMINI";"FLAMINIA , 82EF";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"UNIFLOTTE - RIMINI";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"UNIPOL - MORCIANO";"FORLANI DIOMEDE, 101";"MORCIANO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"UNIPOL - RICCIONE VIA ADRIATICA 10";"ADRIATICA, 10";"RICCIONE";"RIMINI";"300";"Qualsiasi";""
"UNIPOL - RICCIONE VIA VITTORIO EMANUELE II";"VITTORIO EMANUELE II, 8";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"UNIPOL - RIMINI";"ROMA, 102";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"UNIPOL - SANTARCANGELO";"LUDOVICO MARINI, 36";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"UNIRETAIL COLOMBINI - RIMINI";"S.S. CONSOLARE RIMINI - SAN MARINO KM 8,2, SN";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"UNITEC - LUGO";"VIA PROVINCIALE COTIGNOLA, 20/9";"LUGO";"RAVENNA";"200";"Qualsiasi";""
"VALENTINI STUDIO COMMERCIALE - RIMINI";"CIRCONVALLAZIONE MERIDIONALE, 5/B";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"VOLUX - SANTARCANGELO";"TOSI , 308";"SANTARCANGELO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"WORLD TRADE DISPLAY - RIMINI";"DELLA LONTRA, 43";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"YACHT CLUB - DARSENA RIMINI";"ORTIGARA , 45/D";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ZEITGROUP - RIMINI";"DELLA REPUBBLICA, 100";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ZUCCHETTI - MISANO";"NAZIONALE ADRIATICA, 42";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"ZUCCHETTI - RICCIONE";"CECCARINI, 190";"RICCIONE";"RIMINI";"200";"Qualsiasi";""
